timestep,light_state_north,light_state_south,light_state_east,light_state_west,cars_north_lane,cars_south_lane,cars_east_lane,cars_west_lane,north_avg_wait_time,south_avg_wait_time,east_avg_wait_time,west_avg_wait_time
9076,1,1,0,0,0,0,3,3,0.0,0.0,11.333333333333334,11.333333333333334
9077,1,1,0,0,0,0,3,3,0.0,0.0,12.333333333333334,12.333333333333334
9078,1,1,0,0,0,0,3,3,0.0,0.0,13.333333333333334,13.333333333333334
9079,1,1,0,0,0,0,3,3,0.0,0.0,14.333333333333334,14.333333333333334
9080,1,1,0,0,0,0,3,3,0.0,0.0,15.333333333333334,15.333333333333334
9081,1,1,0,0,0,0,3,3,0.0,0.0,16.333333333333332,16.333333333333332
9082,1,1,0,0,0,0,4,4,0.0,0.0,13.0,13.0
9083,1,1,0,0,0,0,4,4,0.0,0.0,14.0,14.0
9084,0,0,1,1,0,0,5,5,0.0,0.0,12.0,12.0
9085,0,0,1,1,0,0,4,4,0.0,0.0,10.75,10.75
9086,0,0,1,1,0,0,3,3,0.0,0.0,8.666666666666666,8.666666666666666
9087,0,0,1,1,0,0,2,2,0.0,0.0,4.0,4.0
9088,0,0,1,1,0,0,1,1,0.0,0.0,4.0,4.0
9089,0,0,1,1,0,0,0,0,0.0,0.0,0.0,0.0
9090,0,0,1,1,1,1,0,0,0.0,0.0,0.0,0.0
9091,0,0,1,1,2,2,0,0,0.5,0.5,0.0,0.0
9092,0,0,1,1,2,2,0,0,1.5,1.5,0.0,0.0
9093,0,0,1,1,2,2,0,0,2.5,2.5,0.0,0.0
9094,0,0,1,1,2,2,0,0,3.5,3.5,0.0,0.0
9095,0,0,1,1,2,2,0,0,4.5,4.5,0.0,0.0
9096,0,0,1,1,2,2,0,0,5.5,5.5,0.0,0.0
9097,0,0,1,1,3,3,0,0,4.333333333333333,4.333333333333333,0.0,0.0
9098,0,0,1,1,4,4,0,0,4.0,4.0,0.0,0.0
9099,1,1,0,0,5,5,0,0,4.0,4.0,0.0,0.0
9100,1,1,0,0,4,4,0,0,3.75,3.75,0.0,0.0
9101,1,1,0,0,4,4,1,1,2.25,2.25,0.0,0.0
9102,1,1,0,0,4,4,1,1,2.0,2.0,1.0,1.0
9103,1,1,0,0,3,3,1,1,2.3333333333333335,2.3333333333333335,2.0,2.0
9104,1,1,0,0,2,2,1,1,2.5,2.5,3.0,3.0
9105,1,1,0,0,1,1,1,1,3.0,3.0,4.0,4.0
9106,1,1,0,0,1,1,1,1,0.0,0.0,5.0,5.0
9107,1,1,0,0,1,1,1,1,0.0,0.0,6.0,6.0
9108,1,1,0,0,1,1,1,1,0.0,0.0,7.0,7.0
9109,1,1,0,0,0,0,1,1,0.0,0.0,8.0,8.0
9110,1,1,0,0,0,0,1,1,0.0,0.0,9.0,9.0
9111,1,1,0,0,0,0,1,1,0.0,0.0,10.0,10.0
9112,1,1,0,0,0,0,1,1,0.0,0.0,11.0,11.0
9113,1,1,0,0,0,0,1,1,0.0,0.0,12.0,12.0
9114,1,1,0,0,0,0,2,2,0.0,0.0,6.5,6.5
9115,1,1,0,0,0,0,2,2,0.0,0.0,7.5,7.5
9116,1,1,0,0,0,0,2,2,0.0,0.0,8.5,8.5
9117,1,1,0,0,0,0,2,2,0.0,0.0,9.5,9.5
9118,1,1,0,0,0,0,2,2,0.0,0.0,10.5,10.5
9119,1,1,0,0,0,0,2,2,0.0,0.0,11.5,11.5
9120,1,1,0,0,0,0,2,2,0.0,0.0,12.5,12.5
9121,1,1,0,0,0,0,2,2,0.0,0.0,13.5,13.5
9122,1,1,0,0,0,0,2,2,0.0,0.0,14.5,14.5
9123,1,1,0,0,0,0,2,2,0.0,0.0,15.5,15.5
9124,1,1,0,0,0,0,2,2,0.0,0.0,16.5,16.5
9125,1,1,0,0,0,0,2,2,0.0,0.0,17.5,17.5
9126,1,1,0,0,0,0,2,2,0.0,0.0,18.5,18.5
9127,1,1,0,0,0,0,2,2,0.0,0.0,19.5,19.5
9128,1,1,0,0,0,0,2,2,0.0,0.0,20.5,20.5
9129,1,1,0,0,0,0,2,2,0.0,0.0,21.5,21.5
9130,1,1,0,0,0,0,2,2,0.0,0.0,22.5,22.5
9131,1,1,0,0,0,0,2,2,0.0,0.0,23.5,23.5
9132,1,1,0,0,0,0,2,2,0.0,0.0,24.5,24.5
9133,1,1,0,0,0,0,3,3,0.0,0.0,17.0,17.0
9134,1,1,0,0,0,0,3,3,0.0,0.0,18.0,18.0
9135,1,1,0,0,0,0,3,3,0.0,0.0,19.0,19.0
9136,1,1,0,0,0,0,3,3,0.0,0.0,20.0,20.0
9137,1,1,0,0,0,0,3,3,0.0,0.0,21.0,21.0
9138,1,1,0,0,0,0,3,3,0.0,0.0,22.0,22.0
9139,1,1,0,0,0,0,3,3,0.0,0.0,23.0,23.0
9140,1,1,0,0,0,0,3,3,0.0,0.0,24.0,24.0
9141,1,1,0,0,0,0,3,3,0.0,0.0,25.0,25.0
9142,1,1,0,0,0,0,3,3,0.0,0.0,26.0,26.0
9143,1,1,0,0,0,0,3,3,0.0,0.0,27.0,27.0
9144,1,1,0,0,0,0,3,3,0.0,0.0,28.0,28.0
9145,1,1,0,0,0,0,3,3,0.0,0.0,29.0,29.0
9146,1,1,0,0,0,0,3,3,0.0,0.0,30.0,30.0
9147,1,1,0,0,0,0,3,3,0.0,0.0,31.0,31.0
9148,1,1,0,0,0,0,3,3,0.0,0.0,32.0,32.0
9149,1,1,0,0,0,0,3,3,0.0,0.0,33.0,33.0
9150,1,1,0,0,0,0,3,3,0.0,0.0,34.0,34.0
9151,1,1,0,0,0,0,3,3,0.0,0.0,35.0,35.0
9152,1,1,0,0,0,0,3,3,0.0,0.0,36.0,36.0
9153,1,1,0,0,0,0,3,3,0.0,0.0,37.0,37.0
9154,1,1,0,0,0,0,3,3,0.0,0.0,38.0,38.0
9155,1,1,0,0,0,0,3,3,0.0,0.0,39.0,39.0
9156,1,1,0,0,0,0,3,3,0.0,0.0,40.0,40.0
9157,1,1,0,0,0,0,3,3,0.0,0.0,41.0,41.0
9158,1,1,0,0,0,0,3,3,0.0,0.0,42.0,42.0
9159,1,1,0,0,0,0,3,3,0.0,0.0,43.0,43.0
9160,1,1,0,0,0,0,3,3,0.0,0.0,44.0,44.0
9161,1,1,0,0,0,0,3,3,0.0,0.0,45.0,45.0
9162,1,1,0,0,0,0,4,4,0.0,0.0,34.5,34.5
9163,1,1,0,0,0,0,4,4,0.0,0.0,35.5,35.5
9164,0,0,1,1,0,0,5,5,0.0,0.0,29.2,29.2
9165,0,0,1,1,1,1,5,5,0.0,0.0,17.4,17.4
9166,0,0,1,1,2,2,4,4,0.5,0.5,10.0,10.0
9167,0,0,1,1,3,3,4,4,1.0,1.0,2.5,2.5
9168,0,0,1,1,4,4,3,3,1.5,1.5,2.6666666666666665,2.6666666666666665
9169,0,0,1,1,4,4,2,2,2.5,2.5,3.0,3.0
9170,0,0,1,1,5,5,1,1,2.8,2.8,3.0,3.0
9171,1,1,0,0,6,6,0,0,3.1666666666666665,3.1666666666666665,0.0,0.0
9172,1,1,0,0,6,6,1,1,3.0,3.0,0.0,0.0
9173,1,1,0,0,5,5,1,1,3.4,3.4,1.0,1.0
9174,1,1,0,0,5,5,2,2,3.0,3.0,1.0,1.0
9175,1,1,0,0,4,4,2,2,3.25,3.25,2.0,2.0
9176,1,1,0,0,3,3,2,2,3.6666666666666665,3.6666666666666665,3.0,3.0
9177,1,1,0,0,2,2,2,2,4.0,4.0,4.0,4.0
9178,1,1,0,0,1,1,2,2,4.0,4.0,5.0,5.0
