total_traffic_ops,north_light,south_light,east_light,west_light,north_queue_size,south_queue_size,east_queue_size,west_queue_size
603,1,1,0,0,2,5,3,0
604,1,1,0,0,2,5,3,0
605,1,1,0,0,2,5,3,0
606,1,1,0,0,2,4,4,0
607,1,1,0,0,2,3,4,0
608,1,1,0,0,2,3,4,0
609,1,1,0,0,2,3,4,0
610,1,1,0,0,2,2,4,0
611,1,1,0,0,1,2,4,0
612,1,1,0,0,1,2,4,0
613,1,1,0,0,1,2,4,0
614,1,1,0,0,1,2,4,1
615,1,1,0,0,1,2,4,2
616,1,1,0,0,1,1,4,2
617,1,1,0,0,1,1,5,2
618,1,1,0,0,1,1,6,2
619,1,1,0,0,1,0,6,2
620,1,1,0,0,1,1,6,2
621,1,1,0,0,0,1,6,2
622,1,1,0,0,0,1,6,2
623,1,1,0,0,0,0,6,3
624,1,1,0,0,0,1,6,3
625,1,1,0,0,0,1,6,4
626,1,1,0,0,0,0,6,4
627,1,1,0,0,0,0,6,4
628,1,1,0,0,1,0,6,4
629,1,1,0,0,1,1,6,4
630,1,1,0,0,1,1,7,4
631,1,1,0,0,1,1,7,4
632,1,1,0,0,1,1,7,4
633,0,0,1,1,0,0,7,4
634,0,0,1,1,1,1,7,3
635,0,0,1,1,1,2,6,2
636,0,0,1,1,2,2,5,1
637,0,0,1,1,2,3,4,0
638,0,0,1,1,3,4,3,0
639,0,0,1,1,4,5,2,0
640,0,0,1,1,5,6,1,0
641,1,1,0,0,5,7,0,0
642,1,1,0,0,5,7,0,0
643,1,1,0,0,5,7,0,0
644,1,1,0,0,4,7,0,1
645,1,1,0,0,4,6,0,1
646,1,1,0,0,4,6,0,1
647,1,1,0,0,4,6,0,1
648,1,1,0,0,3,5,0,1
649,1,1,0,0,3,4,0,1
650,1,1,0,0,3,4,0,1
651,1,1,0,0,3,4,0,1
652,1,1,0,0,3,4,0,1
653,1,1,0,0,3,3,0,2
654,1,1,0,0,2,3,0,2
655,1,1,0,0,2,3,0,2
656,1,1,0,0,2,3,1,2
657,1,1,0,0,1,3,1,2
658,1,1,0,0,1,3,1,3
659,1,1,0,0,1,3,1,3
660,1,1,0,0,0,3,1,3
661,1,1,0,0,1,2,1,3
662,1,1,0,0,1,2,2,3
663,1,1,0,0,1,2,2,3
664,1,1,0,0,0,2,2,3
665,1,1,0,0,1,1,2,3
666,1,1,0,0,1,1,2,3
667,1,1,0,0,1,0,3,3
668,1,1,0,0,0,1,3,3
669,1,1,0,0,0,1,3,3
670,1,1,0,0,1,0,3,3
671,1,1,0,0,0,0,3,3
672,1,1,0,0,1,1,3,4
673,1,1,0,0,1,0,3,4
674,1,1,0,0,0,0,3,4
675,1,1,0,0,0,0,3,5
676,1,1,0,0,0,1,3,5
677,1,1,0,0,1,1,4,5
678,1,1,0,0,1,1,5,5
679,1,1,0,0,1,0,5,5
680,1,1,0,0,1,1,5,5
681,1,1,0,0,1,0,6,5
682,1,1,0,0,1,1,6,6
683,1,1,0,0,1,1,6,6
684,1,1,0,0,1,1,6,6
685,1,1,0,0,1,1,6,6
686,0,0,1,1,1,1,6,7
687,0,0,1,1,2,1,5,6
688,0,0,1,1,3,2,4,6
689,0,0,1,1,4,2,3,5
690,0,0,1,1,4,3,2,4
691,0,0,1,1,4,4,1,3
692,0,0,1,1,5,4,0,2
693,0,0,1,1,5,5,0,1
694,1,1,0,0,6,5,0,0
695,1,1,0,0,6,4,0,0
696,1,1,0,0,5,3,1,0
697,1,1,0,0,4,3,1,0
698,1,1,0,0,3,3,1,0
699,1,1,0,0,2,3,1,0
700,1,1,0,0,2,3,1,0
701,1,1,0,0,1,2,1,0
702,1,1,0,0,1,2,1,0
703,1,1,0,0,1,2,1,0
704,1,1,0,0,0,1,1,0
705,1,1,0,0,1,0,2,0
706,1,1,0,0,1,1,2,0
707,1,1,0,0,1,0,2,0
708,1,1,0,0,1,0,2,0
709,1,1,0,0,1,0,2,0
710,1,1,0,0,1,0,3,0
711,1,1,0,0,0,1,3,0
712,1,1,0,0,0,1,3,0
713,1,1,0,0,1,1,3,0
714,1,1,0,0,0,1,3,1
715,1,1,0,0,1,1,3,1
716,1,1,0,0,1,0,4,1
717,1,1,0,0,0,1,4,1
718,1,1,0,0,0,0,4,2
719,1,1,0,0,1,1,4,2
720,1,1,0,0,0,1,4,2
721,1,1,0,0,1,1,4,2
722,1,1,0,0,1,1,4,2
723,1,1,0,0,0,1,5,2
724,1,1,0,0,0,1,5,2
725,1,1,0,0,0,0,6,2
726,1,1,0,0,0,0,6,2
727,1,1,0,0,1,1,6,2
728,1,1,0,0,1,1,6,2
729,1,1,0,0,0,1,6,2
730,1,1,0,0,0,1,6,2
731,1,1,0,0,1,1,6,2
732,1,1,0,0,0,1,6,3
733,1,1,0,0,1,1,6,3
734,1,1,0,0,0,1,6,3
735,1,1,0,0,0,1,6,3
736,1,1,0,0,0,1,6,3
737,1,1,0,0,1,1,6,3
738,1,1,0,0,0,0,6,3
739,1,1,0,0,0,0,6,3
740,1,1,0,0,1,0,6,3
741,1,1,0,0,1,1,6,4
742,1,1,0,0,1,1,6,4
743,1,1,0,0,1,1,6,4
744,1,1,0,0,1,1,6,4
745,1,1,0,0,1,0,7,4
746,1,1,0,0,1,1,7,4
747,0,0,1,1,0,1,7,5
748,0,0,1,1,0,2,7,4
749,0,0,1,1,0,2,6,3
750,0,0,1,1,0,3,5,2
751,0,0,1,1,0,3,4,1
752,0,0,1,1,1,3,3,0
753,0,0,1,1,2,3,3,0
754,0,0,1,1,2,4,2,0
755,0,0,1,1,3,5,1,0
756,0,0,1,1,3,6,0,0
757,0,0,1,1,4,6,0,0
758,0,0,1,1,5,6,0,1
759,1,1,0,0,6,7,0,0
760,1,1,0,0,5,6,0,0
